date,product_id,fullname,change_type,field,old_value,new_value
2026-02-19,88601,LG G5 OLED,tech_change,color_architecture,WOLED,QD-OLED
2026-02-19,88502,Panasonic Z95B OLED,tech_change,color_architecture,WOLED,QD-OLED
2026-03-16,96964,Samsung Q8F 2025,removed_tv,,Pseudo QD,
2026-03-16,100489,TCL QM5K,removed_tv,,Pseudo QD,
2026-03-16,50404,Hisense U6N,removed_tv,,Pseudo QD,
2026-03-16,112536,TCL QM9K,removed_tv,,QD-LCD,
2026-03-16,60898,TCL QM851G,removed_tv,,QD-LCD,
2026-03-16,49541,LG C4 OLED,removed_tv,,WOLED,
2026-03-16,55354,Samsung DU8000,removed_tv,,KSF,
2026-03-16,49542,LG G4 OLED,removed_tv,,WOLED,
2026-03-16,56163,Samsung The Frame 2024,removed_tv,,Pseudo QD,
2026-03-16,92237,Samsung S90F OLED,removed_tv,,QD-OLED,
2026-03-16,92240,Samsung QN80F,removed_tv,,QD-LCD,
2026-03-16,98323,LG UA77,removed_tv,,WLED,
2026-03-16,60899,TCL QM751G,removed_tv,,QD-LCD,
2026-03-16,58889,Sony BRAVIA 8 OLED,removed_tv,,WOLED,
2026-03-16,88503,Panasonic W70B,removed_tv,,WLED,
2026-03-16,96119,Hisense QD7QF,removed_tv,,Pseudo QD,
2026-03-16,88601,LG G5 OLED,removed_tv,,WOLED,
2026-03-16,88608,TCL QM7K,removed_tv,,QD-LCD,
2026-03-16,101781,TCL QM8K,removed_tv,,QD-LCD,
2026-03-16,88596,Samsung S95F OLED,removed_tv,,QD-OLED,
2026-03-16,96128,Hisense QD6QF,removed_tv,,Pseudo QD,
2026-03-16,88602,LG C5 OLED,removed_tv,,WOLED,
2026-03-16,92245,Sony BRAVIA 2 II,removed_tv,,WLED,
2026-03-16,39008,Sony X90L/X90CL,removed_tv,,KSF,
2026-03-16,88591,Samsung QN990F 8K,removed_tv,,QD-LCD,
2026-03-16,57721,LG UT75,removed_tv,,WLED,
2026-03-16,94324,Samsung Q7F 2025,removed_tv,,Pseudo QD,
2026-03-16,39009,Sony A95L OLED,removed_tv,,QD-OLED,
2026-03-16,57179,Samsung Q80D,removed_tv,,Pseudo QD,
2026-03-16,53323,Sony BRAVIA 3,removed_tv,,KSF,
2026-03-16,49703,Samsung S90D OLED,removed_tv,,QD-OLED,
2026-03-16,96722,Sony BRAVIA 5,removed_tv,,KSF,
2026-03-16,60900,TCL S551G,removed_tv,,KSF,
2026-03-16,96125,Hisense U8QG,removed_tv,,QD-LCD,
2026-03-16,49720,Samsung QN90D,removed_tv,,QD-LCD,
2026-03-16,88607,TCL QM6K,removed_tv,,Pseudo QD,
2026-03-16,49719,Samsung QN85D,removed_tv,,QD-LCD,
2026-03-16,63102,Hisense QD7N,removed_tv,,Pseudo QD,
2026-03-16,50406,Hisense U8N,removed_tv,,QD-LCD,
2026-03-16,96118,Hisense U65QF,removed_tv,,Pseudo QD,
2026-03-16,92239,Samsung QN70F,removed_tv,,QD-LCD,
2026-03-16,96104,Hisense U75QG,removed_tv,,Pseudo QD,
2026-03-16,57713,Hisense A7N,removed_tv,,Pseudo QD,
2026-03-16,49540,LG B4 OLED,removed_tv,,WOLED,
2026-03-16,102906,Roku Pro Series 2025,removed_tv,,QD-LCD,
2026-03-16,94057,Samsung U8000F,removed_tv,,WLED,
2026-03-16,88603,LG B5 OLED,removed_tv,,WOLED,
2026-03-16,49702,Samsung S95D OLED,removed_tv,,QD-OLED,
2026-03-16,88497,Samsung The Frame Pro 2025,removed_tv,,QD-LCD,
2026-03-16,92241,Samsung QN90F,removed_tv,,QD-LCD,
2026-03-16,92236,Samsung S85F OLED,removed_tv,,QD-OLED,
2026-03-16,96489,LG QNED92A,removed_tv,,QD-LCD,
2026-03-16,53322,Sony BRAVIA 7,removed_tv,,QD-LCD,
2026-03-16,92233,LG QNED85A,removed_tv,,Pseudo QD,
2026-03-16,88502,Panasonic Z95B OLED,removed_tv,,WOLED,
2026-03-16,60903,TCL Q651G,removed_tv,,Pseudo QD,
2026-03-16,63953,Hisense CanvasTV 2024,removed_tv,,Pseudo QD,
2026-03-16,99831,TCL Q77K,removed_tv,,Pseudo QD,
2026-03-16,102195,Samsung U7900F,removed_tv,,WLED,
2026-03-16,50405,Hisense U7N,removed_tv,,Pseudo QD,
2026-03-16,74025,Panasonic W95A,removed_tv,,QD-LCD,
2026-03-16,92248,Sony BRAVIA 8 II OLED,removed_tv,,QD-OLED,
2026-03-16,56341,Samsung Q60D,removed_tv,,Pseudo QD,
2026-03-16,53321,Sony BRAVIA 9,removed_tv,,QD-LCD,
2026-03-30,127258,TCL X11L,new_tv,,,QD-LCD
2026-03-30,96119,Hisense QD7QF,material_change,qd_material,nan,nan
2026-03-30,88607,TCL QM6K,material_change,qd_material,nan,nan
2026-03-30,49540,LG B4 OLED,material_change,qd_material,nan,nan
2026-03-30,58889,Sony BRAVIA 8 OLED,material_change,qd_material,nan,nan
2026-03-30,57721,LG UT75,material_change,qd_material,nan,nan
2026-03-30,102195,Samsung U7900F,material_change,qd_material,nan,nan
2026-03-30,118244,Panasonic Z8BA OLED,material_change,qd_material,nan,nan
2026-03-30,88603,LG B5 OLED,material_change,qd_material,nan,nan
2026-03-30,37906,Roku Select Series 2023,material_change,qd_material,nan,nan
2026-03-30,88602,LG C5 OLED,material_change,qd_material,nan,nan
2026-03-30,88502,Panasonic Z95B OLED,material_change,qd_material,nan,nan
2026-03-30,63102,Hisense QD7N,material_change,qd_material,nan,nan
2026-03-30,57713,Hisense A7N,material_change,qd_material,nan,nan
2026-03-30,117447,Hisense 100U8QG,material_change,qd_material,nan,nan
2026-03-30,82692,Amazon Fire TV Omni Mini-LED Series,material_change,qd_material,nan,nan
2026-03-30,99831,TCL Q77K,material_change,qd_material,nan,nan
2026-03-30,88601,LG G5 OLED,material_change,qd_material,nan,nan
2026-03-30,96722,Sony BRAVIA 5,material_change,qd_material,nan,nan
2026-03-30,92233,LG QNED85A,material_change,qd_material,nan,nan
2026-03-30,39008,Sony X90L/X90CL,material_change,qd_material,nan,nan
2026-03-30,49541,LG C4 OLED,material_change,qd_material,nan,nan
2026-03-30,74026,Panasonic Z85A OLED,material_change,qd_material,nan,nan
2026-03-30,102827,Hisense 98QD5QG,material_change,qd_material,nan,nan
2026-03-30,49704,Samsung S85D OLED,material_change,qd_material,nan,nan
2026-03-30,56163,Samsung The Frame 2024,material_change,qd_material,nan,nan
2026-03-30,60903,TCL Q651G,material_change,qd_material,nan,nan
2026-03-30,57710,Samsung Q70D,material_change,qd_material,nan,nan
