amazon_asin,keepa_title,keepa_brand,amazon_price,new_3p_price,buy_box_price,list_price,amazon_price_history_points,new_3p_price_history_points,list_price_history_points,new_3p_price_90d_min,new_3p_price_90d_avg,new_3p_price_90d_max,amazon_price_90d_min,amazon_price_90d_avg,amazon_price_90d_max,list_price_90d_min,list_price_90d_avg,list_price_90d_max
B0BYPLR5JQ,"Sony 55 Inch 4K Ultra HD TV X90L Series: BRAVIA XR Full Array LED Smart Google TV with Dolby Vision HDR and Exclusive Features for The PlayStation® 5 XR55X90L- Latest Model,Black",Sony,,,,,3546.0,6144.0,5100.0,,,,,,,,,
B0BYPT328K,Sony QD-OLED 55 inch BRAVIA XR A95L Series 4K Ultra HD TV: Smart Google TV with Dolby Vision HDR and Exclusive Gaming Features for The PlayStation® 5 XR55A95L- Latest Model,Sony,,,,,66.0,557.0,1420.0,,,,,,,,,
B0CLFQD1SN,"Roku 32"" Select Series 720p HD Smart RokuTV with Voice Remote, Bright Picture, Customizable Home Screen, and Free TV",Roku,,,,,163.0,153.0,217.0,99.5,119.16666666666667,129.0,,,,,,
B0CW3TLV11,"Roku 40"" Select Series Smart TV & Wireless Soundbar Bundle - RokuTV Audio",Roku,,,,,37.0,37.0,55.0,,,,,,,,,
B0CLFSWK9V,"Roku Smart TV – 43-Inch Select Series 4K HDR RokuTV with Roku Enhanced Voice Remote, Brilliant 4K Picture, Automatic Brightness, & Seamless Streaming – Live Local News, Sports, Family Entertainment",Roku,,299.0,,,354.0,779.0,1228.0,268.95,293.9184615384615,313.5,,,,,,
B0CY1BKFLK,,,,,,,1.0,1.0,,,,,,,,,,
B0CY12LK3D,,,,,,,1.0,1.0,,,,,,,,,,
B0CY17Y37N,,,,,,,1.0,1.0,,,,,,,,,,
B0CY164YDC,,,,,,,,,,,,,,,,,,
B0CY12ZXWJ,,,,,,,1.0,1.0,,,,,,,,,,
B0CV9VGMPT,"SAMSUNG 65-Inch Class OLED 4K S90D Series HDR+ Smart TV w/Dolby Atmos, Object Tracking Sound Lite, Motion Xcelerator, Real Depth Enhancer, 4K AI Upscaling, Alexa Built-in (QN65S90D, 2024 Model)",Samsung,,1134.95,,1137.94,428.0,3052.0,6867.0,1027.95,1080.1490909090908,1147.95,1099.0,1099.0,1099.0,1027.95,1074.2254054054054,1147.94
B0CY3JS745,,,,,,,1.0,1.0,,,,,,,,,,
B0CY3XNSFT,,,,,,,1.0,1.0,,,,,,,,,,
B0CY3K5XFD,,,,,,,1.0,1.0,,,,,,,,,,
B0CXRBW3YL,,,,,,,1.0,1.0,,,,,,,,,,
B0CXQYYJDS,,,,,,,,,,,,,,,,,,
B0CXQX37NP,,,,,,,,,,,,,,,,,,
B0CXR5KS5D,,,,,,,1.0,1.0,,,,,,,,,,
B0CXQWDH63,,,,,,,,,,,,,,,,,,
B0CV9RWC4B,"Samsung 55-Inch Class OLED 4K S95D Series HDR Pro Smart TV w/Dolby Atmos, Object Tracking Sound+, Motion Xcelerator, Real Depth Enhancer, AI Upscaling, Alexa Built-in (QN55S95D, 2024 Model)",Samsung,2399.99,1487.95,,1487.95,217.0,688.0,1362.0,1487.95,1545.4624999999999,1697.95,2399.99,2399.99,2399.99,1497.95,1497.975,1498.0
B0CV9BPF93,"Samsung 65-Inch Class OLED 4K S95D Series HDR Pro Smart TV w/Dolby Atmos, Object Tracking Sound+, Motion Xcelerator, Real Depth Enhancer, 4K AI Upscaling, Alexa Built-in (QN65S95D, 2024 Model)",Samsung,,1697.0,,1767.94,140.0,421.0,1006.0,1697.0,1820.173,1997.95,,,,1699.0,1802.3974074074076,1899.0
B0CVSGNZBZ,,,,,,,1.0,1.0,,,,,,,,,,
B0D3WSKZ1N,,,,,,,,,,,,,,,,,,
B0CVS18Z6R,"LG 65-Inch Class OLED B4 Series Smart TV 4K Processor Flat Screen with Magic Remote AI-Powered with Alexa Built-in (OLED65B4PUA, 2024)",LG,1715.29,1079.99,,1079.99,538.0,2006.0,3529.0,949.99,1204.1318181818185,1675.43,1570.7,1661.9180000000001,1715.29,949.99,1174.5006250000001,1674.07
B0D3WKV3X7,,,,,,,1.0,1.0,,,,,,,,,,
B0D3WY2FHF,,,,,,,,,,,,,,,,,,
B0CVRFLN9T,"LG 83-Inch Class OLED evo G4 Series Smart TV 4K Processor Flat Screen with Magic Remote AI-Powered with Alexa Built-in (OLED83G4WUA, 2024)",LG,,3470.0,,3470.0,89.0,3287.0,5446.0,3469.95,3722.708461538461,4738.99,,,,3469.95,3523.8724137931035,3599.0
B0D3WSDWVJ,,,,,,,1.0,1.0,,,,,,,,,,
B0D3WKR4BN,,,,,,,1.0,1.0,,,,,,,,,,
B0CVSHY45W,,,,,,,1.0,1.0,,,,,,,,,,
B0CVSHWGXX,,,,,,,1.0,1.0,,,,,,,,,,
B0CVSJ1ZBP,,,,,,,,,,,,,,,,,,
B0CVSJKFNK,,,,,,,1.0,1.0,,,,,,,,,,
B0CVSJS9DM,,,,,,,1.0,1.0,,,,,,,,,,
B0CVS9BFH4,"Samsung 85-Inch Class QLED 4K LS03D The Frame Series Quantum HDR Smart TV w/Dolby Atmos, Art Mode, Anti-Reflection, Customizable Frame, Slim Fit Wall Mount with Alexa Built-in (QN85LS03D, 2024 Model)",Samsung,,2349.0,,2349.0,82.0,582.0,1809.0,2298.95,2432.242608695652,2547.95,,,,2298.95,2431.9629508196726,2547.95
B0CW27SNZS,,,,,,,1.0,1.0,,,,,,,,,,
B0CW27J5LR,,,,,,,,,,,,,,,,,,
B0CW27DXJX,,,,,,,,,,,,,,,,,,
B0CW2557NX,,,,,,,1.0,1.0,,,,,,,,,,
B0CW26R7H8,,,,,,,1.0,1.0,,,,,,,,,,
B0CY4TQ91Q,"Hisense 55-Inch Class U8 Series Mini-LED ULED 4K UHD Google Smart TV (55U8N) - QLED, Dolby Vision IQ, Dolby Atmos, Full Array Local Dimming Pro, 144Hz Game Mode Pro, Alexa Compatibility",Hisense,,829.99,,,548.0,676.0,1326.0,829.99,1040.4630769230769,1158.33,,,,829.99,1065.7467647058822,1155.92
B0CY4SM6P8,"Hisense 65-Inch Class U8 Series Mini-LED ULED 4K UHD Google Smart TV (65U8N) - QLED, Dolby Vision IQ, Dolby Atmos, Full Array Local Dimming Pro, 144Hz Game Mode Pro, Alexa Compatibility",Hisense,,799.99,,,230.0,212.0,1527.0,799.99,799.99,799.99,,,,,,
B0CY4QVD4C,"Hisense 75-Inch Class U8 Series Mini-LED ULED 4K UHD Google Smart TV (75U8N) - QLED, Dolby Vision IQ, Dolby Atmos, Full Array Local Dimming Pro, 144Hz Game Mode Pro, Alexa Compatibility",Hisense,,949.99,,,234.0,266.0,1062.0,929.99,939.99,949.99,,,,929.99,929.99,929.99
B0D3SX2PN4,"Hisense 85-Inch Class U8 Series Mini-LED ULED 4K UHD Google Smart TV (85U8N) - QLED, Dolby Vision IQ, Dolby Atmos, Full Array Local Dimming Pro, 144Hz Game Mode Pro, Alexa Compatibility",Hisense,,,,,327.0,235.0,961.0,1299.99,1299.99,1299.99,,,,,,
B0CZ6VX5J4,,,,,,,1.0,1.0,,,,,,,,,,
B0CVPXQMRW,Sony 85 Inch Mini LED QLED 4K Ultra HD TV BRAVIA 7 Smart Google TV with Dolby Vision HDR and Exclusive Features for PlayStation®5 (K-85XR70),Sony,2298.0,2298.0,,2298.0,192.0,177.0,352.0,2298.0,2398.0,2498.0,2298.0,2398.0,2498.0,2298.0,2331.3333333333335,2398.0
B0D3WRYFD9,,,,,,,1.0,1.0,,,,,,,,,,
B0D3WG1HCS,,,,,,,1.0,1.0,,,,,,,,,,
B0D3WP2JLD,,,,,,,1.0,1.0,,,,,,,,,,
B0CVSJ3HS7,"LG 70-Inch Class UT75 Series LED Smart TV 4K Processor Flat Screen AI-Powered with Alexa Built-in (70UT7590PUA, 2024)",LG,,,,,5.0,5.0,7.0,,,,,,,,,
B0CXR1D43S,,,,,,,1.0,1.0,,,,,,,,,,
B0CXQVQ5GQ,,,,,,,1.0,1.0,,,,,,,,,,
B0CWVH1XXZ,"Samsung 83-Inch Class OLED 4K S85D Series HDR Smart TV w/Dolby Atmos, Object Tracking Sound Lite, Laser Slim Design, Motion Xcelerator, Real Depth Enhancer, Alexa Built-in (QN83S85D, 2024 Model)",Samsung,,,,,66.0,427.0,565.0,1997.95,1997.95,1997.95,,,,2147.95,2147.95,2147.95
B0CY4RD4KT,"Hisense 65-Inch Class U7 Series Mini-LED ULED 4K UHD Google Smart TV (65U7N) - QLED, Dolby Vision IQ, Dolby Atmos, Full Array Local Dimming, 144Hz Game Mode Pro, VRR, Alexa Compatibility",Hisense,,699.99,,,242.0,674.0,679.0,699.99,699.99,699.99,,,,,,
B0D1FQCHD2,,,,,,,1.0,1.0,,,,,,,,,,
B0D64M1CWG,"Hisense 85-Inch Class U7 Series Mini-LED ULED 4K UHD Google Smart TV (85U7N) - QLED, Dolby Vision IQ, Dolby Atmos, Full Array Local Dimming, 144Hz Game Mode Pro, VRR, Alexa Compatibility",Hisense,,995.0,,,128.0,173.0,579.0,995.0,995.0,995.0,,,,,,
B0CY56VHS4,"Hisense A7 Series 43-Inch Class 4K UHD Smart Google TV with Voice Remote, Game Mode Plus, Chromecast Built-in (43A7N, 2024 Model)",Hisense,,328.99,,328.99,318.0,863.0,675.0,298.0,309.09125,329.0,,,,,,
B0CY4QPSVS,"Hisense A7 Series 50-Inch Class 4K UHD Smart Google TV with Voice Remote, Game Mode Plus, Chromecast Built-in (50A7N, 2024 Model)",Hisense,,357.99,,357.99,87.0,395.0,229.0,357.99,412.1544444444445,450.55,,,,357.99,385.9633333333333,399.95
B0CY4LQ851,"Hisense A7 Series 55-Inch Class 4K UHD Smart Google TV with Voice Remote, Game Mode Plus, Chromecast Built-in (55A7N, 2024 Model)",Hisense,,428.99,,428.99,68.0,1006.0,163.0,428.99,459.5422222222222,468.98,,,,428.99,449.6566666666667,459.99
B0CY4SW14M,"Hisense A7 Series 65-Inch Class 4K UHD Smart Google TV with Voice Remote, Game Mode Plus, Chromecast Built-in (65A7N, 2024 Model)",Hisense,,,,,180.0,500.0,412.0,,,,,,,,,
B0D6SS8Z1X,"Samsung 75-Inch Class QLED 4K Q70D Series Quantum HDR Smart TV with Object Tracking Sound Lite, Motion Xcelerator, Eye Comfort Mode, Gaming Hub, Alexa Built-in (QN75Q70D, 2024 Model)",Samsung,,,,,1189.0,1856.0,2058.0,1049.0,1266.5120000000002,1758.65,,,,1049.0,1161.97,1337.91
B0CVQB2D6C,Sony 65 Inch Mini LED QLED 4K Ultra HD TV BRAVIA 9 Smart Google TV with Dolby Vision HDR and Exclusive Features for PlayStation 5 (K-65XR90),Sony,1998.0,1998.0,,1998.0,115.0,939.0,1665.0,1998.0,2338.0,2798.0,1998.0,2355.9957142857143,2799.99,1999.99,2768.5914814814814,2799.99
B0CVQ5C4F5,Sony 75 Inch Mini LED QLED 4K Ultra HD TV BRAVIA 9 Smart Google TV with Dolby Vision HDR and Exclusive Features for PlayStation 5 (K-75XR90),Sony,2498.0,2498.0,,2498.0,152.0,738.0,1225.0,2498.0,3081.3333333333335,3398.0,2498.0,3259.997692307692,3498.0,2498.0,3215.33,3399.99
B0CVPNFL8Z,Sony 85 Inch Mini LED QLED 4K Ultra HD TV BRAVIA 9 Smart Google TV with Dolby Vision HDR and Exclusive Features for PlayStation 5 (K-85XR90),Sony,,3698.99,,,133.0,790.0,1324.0,2998.0,3669.711428571428,4498.0,2998.0,3658.3979999999997,4499.99,2998.0,4278.397999999999,4499.99
B0CVPSBMGY,Sony 55 Inch OLED 4K Ultra HD TV BRAVIA 8 Smart Google TV with Dolby Vision HDR and Exclusive Features for PlayStation 5 (K-55XR80),Sony,1298.0,1298.0,,1298.0,190.0,83.0,514.0,1298.0,1418.0,1598.0,1298.0,1448.6633333333332,1599.99,1298.0,1562.4685454545458,1599.99
B0D3WPVFBK,,,,,,,,,,,,,,,,,,
B0D3WN592T,,,,,,,1.0,1.0,,,,,,,,,,
B0D3X72M2M,,,,,,,1.0,1.0,,,,,,,,,,
B0CZM7LZCM,"TCL 65-Inch QM85 QLED 4K Smart QD-Mini LED TV with Google TV (65QM851G, 2024 Model) Dolby Vision IQ HDR, Dolby Atmos, Game Accelerator up to 240Hz, Voice Remote, Works with Alexa, Streaming Television",TCL,,,,,264.0,279.0,852.0,,,,,,,,,
B0CZM95SG6,"TCL 75-Inch QM85 QLED 4K Smart QD-Mini LED TV with Google TV (75QM851G, 2024 Model) Dolby Vision IQ HDR, Dolby Atmos, Game Accelerator up to 240Hz, Voice Remote, Works with Alexa, Streaming Television",TCL,,2060.98,,2060.98,639.0,664.0,1551.0,,,,,,,,,
B0CZM7RDTN,"TCL 85-Inch QM85 QLED 4K Smart QD-Mini LED TV with Google TV (85QM851G, 2024 Model) Dolby Vision IQ HDR, Dolby Atmos, Game Accelerator up to 240Hz, Voice Remote, Works with Alexa, Streaming Television",TCL,1799.99,1799.99,,1799.99,412.0,724.0,1519.0,1799.99,1868.8068421052628,1945.69,1799.99,1868.8068421052628,1945.69,1799.99,1840.0149999999999,1880.04
