product_id,sku_id,size_inches,amazon_asin,bestbuy_sku,rtings_price,availability
912,2223,,,,349.99,in_stock
912,8028,,,,299.99,in_stock
1640,2370,,B07WQ4FXY9,,276.19,third_party
15402,3523,,B088MLC8PH,,284.99,out_of_stock
18229,4143,,B08DWD38VX,,749.99,in_stock
24452,5087,,B093MTSTKD,,499.99,in_stock
24452,8030,,,,399.99,in_stock
24247,5272,,B095X7RV77,,,out_of_stock
28689,5903,,B09DTDRJWP,,369.99,out_of_stock
32280,6372,,B0DZDKFHYT,6501568,1599.99,in_stock
32280,6373,,B0DZDBCH95,,,out_of_stock
32280,6374,,B0DZDXLQFH,6501570,1399.99,in_stock
32280,6375,,B09V4NSYN4,,1829.0,in_stock
32280,6376,,B09V3JYGZ6,,,out_of_stock
32280,6377,,B09V3HR5DJ,,,out_of_stock
32378,6458,,B0B1319VJ4,,689.99,in_stock
33691,6841,,,,1099.99,in_stock
33710,6864,,B09ZH3WM47,,749.99,third_party
37157,8367,,B0BZRBYLP1,,,out_of_stock
37125,8574,,B0BS1PLJB8,,,direct_link
37853,8656,,B0C48D7Q22,,1799.99,in_stock
39538,8687,,B0BYGL52YQ,,249.99,in_stock
40848,8762,,B0CCW7JLYH,,,out_of_stock
40717,8974,,B0C633799X,,599.99,in_stock
40716,9172,,B0C63B9CZX,,499.99,in_stock
39860,9342,,,,,no_link
41927,9423,,B0C63HDHPR,,314.99,third_party
37854,9467,,B0CDQM55C9,,2099.99,third_party
38128,9552,,B0BQPSX5CR,,429.0,third_party
41611,9793,,B0C8ZJKPWC,,299.99,third_party
38126,9949,,B0CC7S6P3K,,,out_of_stock
46677,9966,,,6576612,799.99,in_stock
46678,10003,,B0CZSGWLD5,,605.26,third_party
49556,10182,,B0CSGWXVBN,,661.71,third_party
44761,10433,,,,299.99,in_stock
47131,10441,,B0CTS1RQ6Y,,599.99,third_party
49534,10548,,B0D1TX35MQ,,,direct_link
56054,10552,,B0CV27X9K7,,1299.99,in_stock
56054,11751,,B0DCWMS4HC,,1299.99,in_stock
49896,10746,,,,,no_link
42065,10747,,B0CV26XVMD,,1248.96,third_party
51510,10801,,B0D1RL9D39,,799.99,out_of_stock
62843,10849,,,,,no_link
49551,10904,,,,1399.99,in_stock
63129,10918,,B0D1DPFZLZ,6573684,854.99,in_stock
63127,10920,,B0D1DSXW17,6573686,1299.99,in_stock
63127,11889,,B0DHJ8B7TP,,995.0,third_party
47132,10992,,B0CTSC3VS4,,829.99,third_party
47132,12128,,B0DPXYZYPT,,899.99,third_party
61784,11038,,B0CZWM44QP,,626.96,third_party
61784,11707,,,,,no_link
58174,11055,,,,1499.99,in_stock
60445,11430,,B0CW7TM2FR,,237.34,third_party
49884,11438,,B0D7NNK43H,,1151.89,third_party
56501,11550,,B0CV24GQ9W,,254.99,third_party
56501,11655,,,,,no_link
49885,11791,,B0D7NXSQ44,,799.0,third_party
64783,11812,,B0D685SYKN,,749.99,in_stock
63122,11836,,B0D1DBQRRS,,499.99,in_stock
76425,11849,,B0D9R8YPK3,,,direct_link
48867,11971,,,,899.99,in_stock
77107,12087,,B0DGMQ2M1G,,,out_of_stock
72294,12115,,B0D7NSZRJW,,599.99,third_party
71604,12187,,,,,no_link
60431,12205,,,,,no_link
82807,12207,,B0DMPTN8DG,,719.99,third_party
84697,12213,,B0DTJRWVVW,,999.0,third_party
41303,12278,,B0CXW2BH8C,,,out_of_stock
70557,12322,,B0D682HF6R,,499.99,third_party
88031,12333,,B0DM6SHQTN,,962.99,third_party
88589,12349,,B0F18Q2GPN,,659.0,third_party
88590,12350,,B0F1YPNX2Y,,,direct_link
52472,12371,,B0CT441B25,,849.99,third_party
88487,12372,,,6640501,899.99,in_stock
81301,12383,,,,,direct_link
83695,12577,,B0DYG9DKX8,,1499.99,third_party
88035,12578,,,,1999.99,in_stock
97969,13639,,,6617199,284.99,in_stock
96004,13718,,B0DZL719V1,,349.99,third_party
66546,13720,,,,,direct_link
96306,14136,,B0F1435R1F,6619487,259.99,in_stock
88033,14138,,B0DVM3BJHK,,895.95,third_party
94531,14289,,B0DSTPTMNS,,599.99,third_party
96307,14367,,B0F1GD9YFN,,329.99,third_party
94176,14435,,B0F6724X5N,,749.99,third_party
77245,14602,,B0C1SDSYV6,,,direct_link
88032,14760,,B0DWYC5S8X,6623962,999.99,in_stock
94439,14954,,B0F1GFD44G,,329.99,third_party
96735,15240,,B0F1GF1KFC,,279.99,third_party
97892,15381,,B0DVJ3WG52,,189.99,third_party
113604,15430,,B0DYQMWSKG,,799.0,third_party
100486,15530,,B0F732KMQQ,,996.25,third_party
88588,15639,,B0FB46P6F6,,486.99,third_party
113401,15684,,,,,direct_link
117624,15807,,B0FLLNVXFG,,587.0,third_party
91962,15839,,B0F23LR6JQ,,1022.42,third_party
101013,15884,,B0FVPX9LFN,11288541,539.99,in_stock
101122,15987,,B0FSDC2S6B,,1393.45,third_party
126616,16064,,B0GD21577Z,,244.99,third_party
96305,16076,,B0F146MYKD,,219.99,third_party
127358,16077,,,,,direct_link
126131,16111,,B0FLM15Q5L,,199.99,third_party
127454,16203,,B0G5R2QK24,6669264,999.99,in_stock
114001,16291,,,,,direct_link
110675,16342,,B0FX8FD62M,6668647,1099.99,in_stock
127444,16421,,,,,direct_link
133967,16469,,,,,direct_link
133967,16470,,,,1599.0,in_stock
133967,16471,,,,1579.0,in_stock
133967,16472,,,,2299.0,in_stock
133967,16473,,,,1899.0,in_stock
133967,16474,,,,1889.0,in_stock
133968,16482,,,6505397,3299.99,in_stock
133968,16483,,B0GR119YJ7,6595374,3599.99,in_stock
133968,16484,,B0GR19DXGJ,,2889.0,in_stock
133968,16485,,B0GR1FQ6JQ,,3249.0,third_party
108042,16592,,B0FBF7FCZW,,499.99,third_party
128692,16637,,B0FNQ4B2Z2,,469.99,third_party
127369,16723,,,6669985,399.99,in_stock
133969,16751,,,,,direct_link
137590,16752,,,,,direct_link
137915,16796,,,6670439,349.99,in_stock
127417,16871,,,,,direct_link
127455,16902,,B0GVPBVRPP,,1799.99,in_stock
