snapshot_date,product_id,size_inches,best_price,price_source,color_architecture
2026-02-19,39008,55.0,977.99,bestbuy,KSF
2026-02-19,39008,65.0,848.0,amazon,KSF
2026-02-19,39008,85.0,1994.99,bestbuy,KSF
2026-02-19,39008,98.0,3999.99,bestbuy,KSF
2026-02-19,39009,77.0,4999.99,bestbuy,QD-OLED
2026-02-19,55354,55.0,499.99,rtings,KSF
2026-02-19,55354,65.0,598.99,bestbuy,KSF
2026-02-19,55354,75.0,899.99,rtings,KSF
2026-02-19,55354,85.0,1499.99,rtings,KSF
2026-02-19,55354,43.0,369.99,rtings,KSF
2026-02-19,55354,50.0,419.99,rtings,KSF
2026-02-19,49703,55.0,1027.95,amazon_3p,QD-OLED
2026-02-19,49703,65.0,1699.99,rtings,QD-OLED
2026-02-19,49703,77.0,1759.99,bestbuy,QD-OLED
2026-02-19,49703,83.0,4299.99,rtings,QD-OLED
2026-02-19,49703,48.0,1199.99,rtings,QD-OLED
2026-02-19,49703,42.0,1099.99,rtings,QD-OLED
2026-02-19,56341,32.0,479.99,rtings,Pseudo QD
2026-02-19,56341,43.0,529.99,rtings,Pseudo QD
2026-02-19,56341,50.0,599.99,rtings,Pseudo QD
2026-02-19,56341,55.0,559.99,bestbuy,Pseudo QD
2026-02-19,56341,65.0,799.99,rtings,Pseudo QD
2026-02-19,56341,70.0,999.99,rtings,Pseudo QD
2026-02-19,56341,75.0,1199.99,rtings,Pseudo QD
2026-02-19,56341,85.0,1508.58,amazon_3p,Pseudo QD
2026-02-19,49702,55.0,2399.99,rtings,QD-OLED
2026-02-19,49702,65.0,3099.99,rtings,QD-OLED
2026-02-19,49702,77.0,4399.99,rtings,QD-OLED
2026-02-19,49540,55.0,989.99,bestbuy,WOLED
2026-02-19,49540,77.0,1529.99,bestbuy,WOLED
2026-02-19,49540,,3999.99,rtings,WOLED
2026-02-19,49542,55.0,1899.99,bestbuy,WOLED
2026-02-19,49542,65.0,1796.99,amazon_3p,WOLED
2026-02-19,49542,77.0,2804.99,bestbuy,WOLED
2026-02-19,49542,,19999.99,rtings,WOLED
2026-02-19,49541,55.0,990.0,amazon_3p,WOLED
2026-02-19,49541,65.0,1274.99,bestbuy,WOLED
2026-02-19,49541,77.0,1975.99,bestbuy,WOLED
2026-02-19,49541,,5399.99,rtings,WOLED
2026-02-19,56163,43.0,999.99,rtings,Pseudo QD
2026-02-19,56163,50.0,692.99,amazon_3p,Pseudo QD
2026-02-19,56163,55.0,799.99,bestbuy,Pseudo QD
2026-02-19,56163,65.0,999.99,bestbuy,Pseudo QD
2026-02-19,56163,75.0,2199.99,bestbuy,Pseudo QD
2026-02-19,56163,85.0,1997.96,amazon_3p,Pseudo QD
2026-02-19,49719,55.0,1116.18,amazon_3p,QD-LCD
2026-02-19,49719,65.0,1599.99,rtings,QD-LCD
2026-02-19,49719,75.0,1624.99,bestbuy,QD-LCD
2026-02-19,49719,85.0,2499.99,rtings,QD-LCD
2026-02-19,49720,43.0,674.95,amazon_3p,QD-LCD
2026-02-19,49720,50.0,1399.99,rtings,QD-LCD
2026-02-19,49720,55.0,1499.99,rtings,QD-LCD
2026-02-19,49720,65.0,1699.99,rtings,QD-LCD
2026-02-19,49720,75.0,1799.99,bestbuy,QD-LCD
2026-02-19,49720,85.0,3499.99,rtings,QD-LCD
2026-02-19,49720,98.0,5529.74,amazon_3p,QD-LCD
2026-02-19,53322,65.0,1199.99,bestbuy,QD-LCD
2026-02-19,53322,75.0,1599.99,bestbuy,QD-LCD
2026-02-19,53322,85.0,2799.99,bestbuy,QD-LCD
2026-02-19,53322,55.0,1099.99,bestbuy,QD-LCD
2026-02-19,57721,43.0,286.84,amazon_3p,WLED
2026-02-19,57721,,349.95,rtings,WLED
2026-02-19,57721,55.0,279.99,bestbuy,WLED
2026-02-19,57721,65.0,379.99,bestbuy,WLED
2026-02-19,57721,75.0,479.99,bestbuy,WLED
2026-02-19,57721,86.0,759.99,bestbuy,WLED
2026-02-19,49704,55.0,1349.99,rtings,WOLED
2026-02-19,49704,65.0,1619.99,bestbuy,WOLED
2026-02-19,49704,77.0,2499.99,rtings,WOLED
2026-02-19,49704,83.0,1954.99,bestbuy,WOLED
2026-02-19,50405,75.0,899.99,bestbuy,Pseudo QD
2026-02-19,50405,85.0,1039.99,bestbuy,Pseudo QD
2026-02-19,57713,43.0,298.0,amazon_3p,Pseudo QD
2026-02-19,57713,75.0,431.99,bestbuy,Pseudo QD
2026-02-19,57710,55.0,799.99,bestbuy,Pseudo QD
2026-02-19,57710,65.0,799.99,bestbuy,Pseudo QD
2026-02-19,57710,75.0,1699.99,rtings,Pseudo QD
2026-02-19,57710,85.0,2799.99,rtings,Pseudo QD
2026-02-19,53321,65.0,1999.99,bestbuy,QD-LCD
2026-02-19,53321,75.0,2599.99,bestbuy,QD-LCD
2026-02-19,53321,85.0,2999.99,bestbuy,QD-LCD
2026-02-19,58889,55.0,1498.0,amazon,WOLED
2026-02-19,58889,65.0,1898.0,amazon,WOLED
2026-02-19,58889,77.0,2799.99,bestbuy,WOLED
2026-02-19,55174,65.0,995.99,rtings,QD-LCD
2026-02-19,55174,75.0,1099.99,rtings,QD-LCD
2026-02-19,55174,,3299.99,rtings,QD-LCD
2026-02-19,50404,65.0,450.99,rtings,Pseudo QD
2026-02-19,50404,75.0,629.99,rtings,Pseudo QD
2026-02-19,53323,43.0,499.99,rtings,KSF
2026-02-19,53323,50.0,569.99,rtings,KSF
2026-02-19,53323,55.0,549.99,rtings,KSF
2026-02-19,53323,65.0,799.99,rtings,KSF
2026-02-19,53323,75.0,999.99,rtings,KSF
2026-02-19,53323,85.0,1099.99,rtings,KSF
2026-02-19,57179,50.0,999.99,rtings,Pseudo QD
2026-02-19,57179,55.0,1099.99,rtings,Pseudo QD
2026-02-19,57179,65.0,1139.99,rtings,Pseudo QD
2026-02-19,57179,75.0,1139.99,rtings,Pseudo QD
2026-02-19,57179,85.0,2299.99,rtings,Pseudo QD
2026-02-19,60899,65.0,639.99,rtings,QD-LCD
2026-02-19,60899,,1198.0,rtings,QD-LCD
2026-02-19,60903,43.0,219.99,rtings,Pseudo QD
2026-02-19,60903,50.0,259.99,rtings,Pseudo QD
2026-02-19,60903,55.0,279.99,rtings,Pseudo QD
2026-02-19,60903,65.0,379.99,rtings,Pseudo QD
2026-02-19,60903,75.0,519.99,rtings,Pseudo QD
2026-02-19,60903,85.0,849.99,rtings,Pseudo QD
2026-02-19,60903,98.0,1298.0,rtings,Pseudo QD
2026-02-19,49718,65.0,4499.99,rtings,QD-LCD
2026-02-19,49718,75.0,3349.99,rtings,QD-LCD
2026-02-19,49718,85.0,6999.99,rtings,QD-LCD
2026-02-19,60900,,300.0,rtings,KSF
2026-02-19,60900,55.0,249.99,rtings,KSF
2026-02-19,60900,65.0,379.99,rtings,KSF
2026-02-19,60900,75.0,479.99,rtings,KSF
2026-02-19,57180,43.0,269.99,rtings,WLED
2026-02-19,57180,50.0,427.95,rtings,WLED
2026-02-19,57180,55.0,379.99,rtings,WLED
2026-02-19,57180,60.0,459.99,rtings,WLED
2026-02-19,57180,65.0,469.99,rtings,WLED
2026-02-19,57180,70.0,560.99,rtings,WLED
2026-02-19,57180,75.0,669.99,rtings,WLED
2026-02-19,57180,85.0,1099.99,rtings,WLED
2026-02-19,63953,55.0,674.99,amazon_3p,Pseudo QD
2026-02-19,63953,65.0,897.99,amazon,Pseudo QD
2026-02-19,63953,75.0,1299.99,amazon,Pseudo QD
2026-02-19,63953,85.0,1897.99,amazon,Pseudo QD
2026-02-19,63102,85.0,1184.99,amazon_3p,Pseudo QD
2026-02-19,74024,65.0,1397.99,amazon_3p,WOLED
2026-02-19,70375,55.0,698.99,rtings,KSF
2026-02-19,70375,65.0,999.99,rtings,KSF
2026-02-19,70375,75.0,1699.99,rtings,KSF
2026-02-19,70375,85.0,1997.99,rtings,KSF
2026-02-19,59962,75.0,2549.99,rtings,QD-LCD
2026-02-19,59962,85.0,2730.9,rtings,QD-LCD
2026-02-19,82692,55.0,819.99,amazon,KSF
2026-02-19,82692,65.0,959.99,amazon,KSF
2026-02-19,82692,75.0,1399.99,amazon,KSF
2026-02-19,82692,85.0,2099.99,amazon,KSF
2026-02-19,88607,,449.99,rtings,Pseudo QD
2026-02-19,88607,65.0,529.99,rtings,Pseudo QD
2026-02-19,88607,75.0,799.99,rtings,Pseudo QD
2026-02-19,88607,85.0,1099.99,rtings,Pseudo QD
2026-02-19,88607,98.0,2199.99,rtings,Pseudo QD
2026-02-19,94324,43.0,349.99,rtings,Pseudo QD
2026-02-19,94324,50.0,379.99,rtings,Pseudo QD
2026-02-19,94324,55.0,399.99,rtings,Pseudo QD
2026-02-19,94324,65.0,499.99,rtings,Pseudo QD
2026-02-19,94324,75.0,677.99,amazon_3p,Pseudo QD
2026-02-19,94324,85.0,1197.99,amazon_3p,Pseudo QD
2026-02-19,94324,98.0,2499.99,rtings,Pseudo QD
2026-02-19,88608,55.0,698.99,rtings,QD-LCD
2026-02-19,88608,65.0,998.99,rtings,QD-LCD
2026-02-19,88608,75.0,1298.99,rtings,QD-LCD
2026-02-19,88608,85.0,1799.99,rtings,QD-LCD
2026-02-19,88608,98.0,2499.99,rtings,QD-LCD
2026-02-19,88601,55.0,1473.99,rtings,WOLED
2026-02-19,88601,65.0,2499.99,rtings,WOLED
2026-02-19,88601,77.0,3499.99,rtings,WOLED
2026-02-19,88601,83.0,5299.99,rtings,WOLED
2026-02-19,88601,,24999.99,rtings,WOLED
2026-02-19,88602,42.0,899.99,rtings,WOLED
2026-02-19,88602,55.0,1046.99,rtings,WOLED
2026-02-19,88602,65.0,1399.99,rtings,WOLED
2026-02-19,88602,77.0,1823.99,rtings,WOLED
2026-02-19,88602,48.0,849.99,rtings,WOLED
2026-02-19,88602,83.0,3196.99,rtings,WOLED
2026-02-19,92241,43.0,899.99,rtings,QD-LCD
2026-02-19,92241,50.0,1099.99,rtings,QD-LCD
2026-02-19,92241,55.0,1299.99,rtings,QD-LCD
2026-02-19,92241,65.0,1599.99,bestbuy,QD-LCD
2026-02-19,92241,75.0,1999.99,bestbuy,QD-LCD
2026-02-19,92241,85.0,2499.99,bestbuy,QD-LCD
2026-02-19,92241,98.0,14999.99,rtings,QD-LCD
2026-02-19,92236,55.0,1199.99,bestbuy,QD-OLED
2026-02-19,92236,65.0,999.99,amazon_3p,QD-OLED
2026-02-19,92236,77.0,1799.99,bestbuy,QD-OLED
2026-02-19,92236,83.0,2499.99,bestbuy,QD-OLED
2026-02-19,88596,55.0,1999.99,bestbuy,QD-OLED
2026-02-19,88596,65.0,2499.99,bestbuy,QD-OLED
2026-02-19,88596,77.0,3397.99,amazon_3p,QD-OLED
2026-02-19,88596,83.0,6499.99,rtings,QD-OLED
2026-02-19,96125,55.0,799.99,bestbuy,QD-LCD
2026-02-19,96125,65.0,899.99,bestbuy,QD-LCD
2026-02-19,96125,75.0,1399.99,bestbuy,QD-LCD
2026-02-19,96125,85.0,1999.99,bestbuy,QD-LCD
2026-02-19,96125,100.0,2999.99,bestbuy,QD-LCD
2026-02-19,92237,42.0,999.99,bestbuy,QD-OLED
2026-02-19,92237,48.0,997.99,amazon_3p,QD-OLED
2026-02-19,92237,55.0,1199.99,bestbuy,QD-OLED
2026-02-19,92237,65.0,1399.99,bestbuy,QD-OLED
2026-02-19,92237,77.0,2199.99,bestbuy,QD-OLED
2026-02-19,92237,83.0,2997.99,amazon_3p,QD-OLED
