product_id,fullname,sku_id,size_inches,amazon_asin,bestbuy_sku,rtings_price,availability,num_retailers
37906,Roku Select Series 2023,9657,,,,,no_link,2
37906,Roku Select Series 2023,9658,,B0CLFQD1SN,,,out_of_stock,2
37906,Roku Select Series 2023,9659,,B0CW3TLV11,,,out_of_stock,2
37906,Roku Select Series 2023,9660,,B0CLFSWK9V,,,out_of_stock,2
37906,Roku Select Series 2023,9661,,,,,no_link,2
37906,Roku Select Series 2023,9662,,,,,no_link,2
37906,Roku Select Series 2023,9663,,,,,no_link,2
37906,Roku Select Series 2023,9664,,,,,no_link,2
41473,Sharp AQUOS XLED FV1 ,10155,,,,,direct_link,2
41473,Sharp AQUOS XLED FV1 ,10156,,,,,direct_link,2
49704,Samsung S85D OLED,10756,55.0,,,1349.99,in_stock,2
49704,Samsung S85D OLED,10757,65.0,B0CXR1D43S,6578059,1619.99,location_dependent,2
49704,Samsung S85D OLED,10758,77.0,B0CXQVQ5GQ,,2499.99,in_stock,2
49704,Samsung S85D OLED,10759,,B0CWVH1XXZ,,2247.95,out_of_stock,2
57710,Samsung Q70D,10783,55.0,,,999.99,in_stock,2
57710,Samsung Q70D,10784,65.0,,6576591,799.99,location_dependent,2
57710,Samsung Q70D,10785,75.0,,,1699.99,in_stock,2
57710,Samsung Q70D,10786,85.0,,,2799.99,in_stock,2
55174,LG QNED90T,10835,65.0,B0D3WPVFBK,6578052,995.99,location_dependent,2
55174,LG QNED90T,10836,,B0D3WN592T,,2299.99,in_stock,2
55174,LG QNED90T,10837,,B0D3X72M2M,,3299.99,in_stock,2
61045,Hisense 75U8N,10953,,B0CY4QVD4C,,,out_of_stock,2
49718,Samsung QN900D 8K,11136,65.0,,,4499.99,in_stock,2
49718,Samsung QN900D 8K,11137,75.0,B0CVSJC57H,,5799.99,in_stock,2
49718,Samsung QN900D 8K,11138,85.0,B0CVSGYHYM,,6999.99,in_stock,2
57180,Samsung DU7200,11255,43.0,B0CY18SS15,,269.99,in_stock,2
57180,Samsung DU7200,11256,50.0,,,427.95,in_stock,2
57180,Samsung DU7200,11257,55.0,B0CXZVSNRN,,379.99,in_stock,2
57180,Samsung DU7200,11258,60.0,,,459.99,in_stock,2
57180,Samsung DU7200,11259,65.0,,,469.99,in_stock,2
57180,Samsung DU7200,11260,70.0,,,589.99,in_stock,2
57180,Samsung DU7200,11261,75.0,,,669.99,in_stock,2
57180,Samsung DU7200,11262,85.0,B0CY1BNH61,,1099.99,in_stock,2
74026,Panasonic Z85A OLED,11579,,,,,no_link,2
74026,Panasonic Z85A OLED,11580,,B0D8S669CY,,1147.99,out_of_stock,2
74024,Panasonic Z95A OLED,11650,,B0D8S2D1CZ,,1397.99,third_party,2
70375,TCL NXTVISION,11689,55.0,,6590118,698.99,in_stock,2
70375,TCL NXTVISION,11690,65.0,,6590123,897.99,in_stock,2
70375,TCL NXTVISION,11691,75.0,B0DCWTT39N,6590119,1499.99,in_stock,2
70375,TCL NXTVISION,11692,85.0,,6590120,1997.99,in_stock,2
57722,Samsung QN95D,12034,65.0,,,,no_link,2
57722,Samsung QN95D,12035,75.0,,,,no_link,2
57722,Samsung QN95D,12036,85.0,,,,no_link,2
59962,Hisense U9N,12091,75.0,,6594932,2549.99,location_dependent,2
59962,Hisense U9N,12092,85.0,B0D2PMNRBW,,2730.9,in_stock,2
82692,Amazon Fire TV Omni Mini-LED Series,12183,,B0C7SRHGXF,,719.99,amazon,2
82692,Amazon Fire TV Omni Mini-LED Series,12184,,B0C1TQYNWX,,959.99,amazon,2
82692,Amazon Fire TV Omni Mini-LED Series,12185,,B0C7SH9FN2,,1499.99,amazon,2
82692,Amazon Fire TV Omni Mini-LED Series,12186,,B0C7S8Z4C1,,2099.99,amazon,2
92242,Samsung QN900F 8K,13768,65.0,,,3299.99,in_stock,2
92242,Samsung QN900F 8K,13769,75.0,,6613453,3299.99,location_dependent,2
92242,Samsung QN900F 8K,13770,85.0,,6613450,3799.99,in_stock,2
92761,Philips 974 Series OLED,13771,,,,,direct_link,2
117450,Sony BRAVIA 5 98,15634,98.0,,6625581,3999.99,in_stock,2
117447,Hisense 100U8QG,15662,100.0,B0F5QQH44H,6621198,2999.99,in_stock,2
117449,TCL 98QM8K,15679,98.0,B0F2JKVCWF,6625840,2999.99,in_stock,2
102827,Hisense 98QD5QG,15703,98.0,,6635801,1299.99,in_stock,2
117448,Samsung 100QN80F,15756,100.0,,,5999.99,in_stock,2
