product_id,fullname,brand,url_part,review_url,test_bench_id,test_bench_version,released_at,last_updated_at,first_published_at,sizes_available,sku_count,panel_type,backlight_type,resolution,native_refresh_rate,brightness_score,color_accuracy,console_gaming,editing,office,pc_gaming,aspect_ratio,display_size,display_size_display,display_size_score,first_response_time_ms,first_response_time_ms_display,first_response_time_ms_score,hdr_bt2020_coverage_itp_pct,hdr_bt2020_coverage_itp_pct_display,hdr_bt2020_coverage_itp_pct_score,hdr_peak_10pct_nits,hdr_peak_10pct_nits_display,hdr_peak_10pct_nits_score,hdr_peak_2pct_nits,hdr_peak_2pct_nits_display,hdr_peak_2pct_nits_score,input_lag_native_ms,input_lag_native_ms_display,input_lag_native_ms_score,local_dimming,native_contrast,native_contrast_display,native_contrast_score,native_refresh_rate_display,native_refresh_rate_score,panel_sub_type,pixel_density,pixel_density_display,pixel_density_score,sdr_bt2020_coverage_pct,sdr_bt2020_coverage_pct_display,sdr_bt2020_coverage_pct_score,sdr_dci_p3_coverage_pct,sdr_dci_p3_coverage_pct_display,sdr_dci_p3_coverage_pct_score,spd_image,spd_image_local,spd_image_thumb,total_response_time_ms,total_response_time_ms_display,total_response_time_ms_score,scraped_at,image_url,reviewed_sku_id
70557,AOC AGON PRO AG276QZD2,AOC,aoc-agon-pro-ag276qzd2,https://www.rtings.com/monitor/reviews/aoc/agon-pro-ag276qzd2,238,v2.1.2,2024-09-16 00:00:00 -0400,2026-03-17 13:18:49 -0400,2025-03-31 09:43:20 -0400,"27"" (AGON PRO AG276QZD2)",1,OLED,No Backlight,2560 x 1440,240,6.8,8.8,7.5,8.7,7.1,8.9,16:9,26.7,"27""",10.0,0.3,0.3 ms,9.9,32,32.0%,7.7,454,454 cd/m²,7.0,983,983 cd/m²,9.0,2.5,2.5 ms,9.3,No,Inf,Inf : 1,10.0,240 Hz,9.0,QD-OLED,110.0078487,110 PPI,7.2,55.22,55.2%,4.1,75.47,75.5%,6.2,https://i.rtings.com/assets/products/dQqnVNJY/aoc-agon-pro-ag276qzd2/spd-large.jpg?format=auto,spd_images/monitors/aoc-agon-pro-ag276qzd2_spd.jpg,https://i.rtings.com/assets/products/dQqnVNJY/aoc-agon-pro-ag276qzd2/spd-small.jpg?format=auto,0.8,0.8 ms,9.8,2026-03-30T14:24:29.531116+00:00,https://i.rtings.com/assets/products/seyvrTEq/aoc-agon-pro-ag276qzd2/design-small.jpg?format=auto,12322
41611,AOC Q27G3XMN,AOC,aoc-q27g3xmn,https://www.rtings.com/monitor/reviews/aoc/q27g3xmn,238,v2.1.2,2023-09-01 00:00:00 -0400,2026-03-17 13:18:49 -0400,2023-12-14 08:33:29 -0500,"27"" (Q27G3XMN)",1,LCD,Full-Array,2560 x 1440,165,8.3,8.8,7.4,7.9,7.6,8.2,16:9,27,"27""",10.0,4.2,4.2 ms,8.4,38.6,38.6%,8.3,976,976 cd/m²,9.0,796,796 cd/m²,8.6,4.3,4.3 ms,8.9,Yes,4508,"4,508 : 1",8.6,165 Hz,8.5,VA,108.7855393,109 PPI,7.2,69.61,69.6%,5.5,91.73,91.7%,8.6,https://i.rtings.com/assets/products/AczJDX1r/aoc-q27g3xmn/spd-large.jpg?format=auto,spd_images/monitors/aoc-q27g3xmn_spd.jpg,https://i.rtings.com/assets/products/AczJDX1r/aoc-q27g3xmn/spd-small.jpg?format=auto,4.5,4.5 ms,8.9,2026-03-30T14:24:29.531116+00:00,https://i.rtings.com/assets/products/u0t7sCPJ/aoc-q27g3xmn/design-small.jpg?format=auto,9793
97969,AOC Q27G40XMN,AOC,aoc-q27g40xmn,https://www.rtings.com/monitor/reviews/aoc/q27g40xmn,238,v2.1.2,2025-04-17 00:00:00 -0400,2026-03-17 13:18:49 -0400,2025-06-12 09:14:23 -0400,"27"" (Q27G40XMN)",1,LCD,Full-Array,2560 x 1440,180,8.9,9.0,7.3,8.0,7.3,8.1,16:9,27,"27""",10.0,4.3,4.3 ms,8.3,42.7,42.7%,8.6,1263,"1,263 cd/m²",9.2,978,978 cd/m²,9.0,4.2,4.2 ms,9.0,Yes,4361,"4,361 : 1",8.5,180 Hz,8.7,VA,108.7855393,109 PPI,7.2,74.89,74.9%,6.1,90.28,90.3%,8.3,https://i.rtings.com/assets/products/YUPhp9Os/aoc-q27g40xmn/spd-large.jpg?format=auto,spd_images/monitors/aoc-q27g40xmn_spd.jpg,https://i.rtings.com/assets/products/YUPhp9Os/aoc-q27g40xmn/spd-small.jpg?format=auto,6.6,6.6 ms,8.6,2026-03-30T14:24:29.531116+00:00,https://i.rtings.com/assets/products/IEZOnemh/aoc-q27g40xmn/design-small.jpg?format=auto,13639
91962,ASUS ProArt Display 6K PA32QCV,ASUS,asus-proart-display-6k-pa32qcv,https://www.rtings.com/monitor/reviews/asus/proart-display-6k-pa32qcv,238,v2.1.2,2025-08-25 00:00:00 -0400,2026-03-17 13:18:49 -0400,2025-11-27 15:34:50 -0500,"32"" (ProArt Display 6K PA32QCV)",1,LCD,Edge,6016 x 3384,60,8.2,8.8,5.3,8.0,8.9,6.4,16:9,31.5,"32""",10.0,9.2,9.2 ms,5.9,34.4,34.4%,7.9,599,599 cd/m²,7.7,599,599 cd/m²,7.7,9.1,9.1 ms,8.2,Yes,1592,"1,592 : 1",6.8,60 Hz,6.0,IPS,219.1251577,219 PPI,9.4,71.93,71.9%,5.8,98.4,98.4%,9.7,https://i.rtings.com/assets/products/skZrZFzL/asus-proart-display-6k-pa32qcv/spd-large.jpg?format=auto,spd_images/monitors/asus-proart-display-6k-pa32qcv_spd.jpg,https://i.rtings.com/assets/products/skZrZFzL/asus-proart-display-6k-pa32qcv/spd-small.jpg?format=auto,16.5,16.5 ms,3.4,2026-03-30T14:24:29.531116+00:00,https://i.rtings.com/assets/products/ZFFrFStU/asus-proart-display-6k-pa32qcv/design-small.jpg?format=auto,15839
38128,ASUS ProArt Display PA279CRV,ASUS,asus-proart-display-pa279crv,https://www.rtings.com/monitor/reviews/asus/proart-display-pa279crv,238,v2.1.2,2023-05-01 00:00:00 -0400,2026-03-17 13:18:49 -0400,2023-12-05 11:01:02 -0500,"27"" (ProArt Display PA279CRV)",1,LCD,Edge,3840 x 2160,60,7.3,8.9,5.3,7.7,8.5,6.2,16:9,27,"27""",10.0,11.4,11.4 ms,5.2,34.4,34.4%,7.9,436,436 cd/m²,6.9,425,425 cd/m²,6.8,8.6,8.6 ms,8.3,Yes,920,920 : 1,5.8,60 Hz,6.0,IPS,163.1783089,163 PPI,8.6,80.56,80.6%,6.9,98.48,98.5%,9.7,https://i.rtings.com/assets/products/PbQwLr4n/asus-proart-display-pa279crv/spd-large.jpg?format=auto,spd_images/monitors/asus-proart-display-pa279crv_spd.jpg,https://i.rtings.com/assets/products/PbQwLr4n/asus-proart-display-pa279crv/spd-small.jpg?format=auto,13.2,13.2 ms,6.3,2026-03-30T14:24:29.531116+00:00,https://i.rtings.com/assets/products/GxUyxMSa/asus-proart-display-pa279crv/design-small.jpg?format=auto,9552
81301,ASUS ProArt Display PA27JCV,ASUS,asus-proart-display-pa27jcv,https://www.rtings.com/monitor/reviews/asus/proart-display-pa27jcv,238,v2.1.2,2024-10-28 00:00:00 -0400,2026-03-17 13:18:49 -0400,2025-05-29 08:51:46 -0400,"27"" (ProArt Display PA27JCV)",1,LCD,Edge,5120 x 2880,60,8.0,8.6,5.4,7.8,9.0,6.1,16:9,27,"27""",10.0,12.2,12.2 ms,4.9,32,32.0%,7.7,632,632 cd/m²,7.9,350,350 cd/m²,6.4,9.25,9.3 ms,8.2,Yes,2019,"2,019 : 1",7.2,60 Hz,6.0,IPS,217.5710785,218 PPI,9.4,75.6,75.6%,6.2,99.45,99.5%,9.9,https://i.rtings.com/assets/products/u781NFOY/asus-proart-display-pa27jcv/spd-large.jpg?format=auto,spd_images/monitors/asus-proart-display-pa27jcv_spd.jpg,https://i.rtings.com/assets/products/u781NFOY/asus-proart-display-pa27jcv/spd-small.jpg?format=auto,16.5,16.5 ms,3.4,2026-03-30T14:24:29.531116+00:00,https://i.rtings.com/assets/products/I1thrune/asus-proart-display-pa27jcv/design-small.jpg?format=auto,12383
72294,ASUS ROG Strix OLED XG27ACDNG,ASUS,asus-rog-strix-oled-xg27acdng,https://www.rtings.com/monitor/reviews/asus/rog-strix-oled-xg27acdng,238,v2.1.2,2024-10-21 00:00:00 -0400,2026-03-26 14:47:41 -0400,2025-01-27 09:48:51 -0500,"27"" (ROG Strix OLED XG27ACDNG)",1,OLED,No Backlight,2560 x 1440,360,7.2,8.9,9.1,8.9,7.3,9.2,16:9,27,"27""",10.0,0.6,0.6 ms,9.8,47.6,47.6%,8.9,454,454 cd/m²,7.0,992,992 cd/m²,9.0,2,2.0 ms,9.5,No,Inf,Inf : 1,10.0,360 Hz,9.3,QD-OLED,108.7855393,109 PPI,7.2,79.82,79.8%,6.8,99.32,99.3%,9.9,https://i.rtings.com/assets/products/NZ9mkXih/asus-rog-strix-oled-xg27acdng/spd-large.jpg?format=auto,spd_images/monitors/asus-rog-strix-oled-xg27acdng_spd.jpg,https://i.rtings.com/assets/products/NZ9mkXih/asus-rog-strix-oled-xg27acdng/spd-small.jpg?format=auto,0.6,0.6 ms,9.8,2026-03-30T14:24:29.531116+00:00,https://i.rtings.com/assets/products/JZMvjZBJ/asus-rog-strix-oled-xg27acdng/design-small.jpg?format=auto,12115
61784,ASUS ROG Strix OLED XG27AQDMG,ASUS,asus-rog-strix-oled-xg27aqdmg,https://www.rtings.com/monitor/reviews/asus/rog-strix-oled-xg27aqdmg,238,v2.1.2,2024-05-30 00:00:00 -0400,2026-03-17 13:18:49 -0400,2024-08-02 09:57:49 -0400,"27"" (ROG Strix OLED XG27AQDMG); 27"" (ROG Strix OLED XG27AQDMGZ)",2,OLED,No Backlight,2560 x 1440,240,7.5,8.3,8.3,8.6,7.1,9.0,16:9,26.5,"27""",10.0,0.3,0.3 ms,9.9,34.8,34.8%,8.0,760,760 cd/m²,8.4,1151,"1,151 cd/m²",9.1,2.6,2.6 ms,9.3,No,Inf,Inf : 1,10.0,240 Hz,9.0,WOLED,110.8380966,111 PPI,7.2,69.39,69.4%,5.5,96.34,96.3%,9.4,https://i.rtings.com/assets/products/sYGNAB2t/asus-rog-strix-oled-xg27aqdmg/spd-large.jpg?format=auto,spd_images/monitors/asus-rog-strix-oled-xg27aqdmg_spd.jpg,https://i.rtings.com/assets/products/sYGNAB2t/asus-rog-strix-oled-xg27aqdmg/spd-small.jpg?format=auto,0.3,0.3 ms,9.9,2026-03-30T14:24:29.531116+00:00,https://i.rtings.com/assets/products/8DGgxKIu/asus-rog-strix-oled-xg27aqdmg/design-small.jpg?format=auto,11038
114001,ASUS ROG Strix OLED XG27AQWMG,ASUS,asus-rog-strix-oled-xg27aqwmg,https://www.rtings.com/monitor/reviews/asus/rog-strix-oled-xg27aqwmg,238,v2.1.2,2025-11-27 00:00:00 -0500,2026-03-24 15:50:58 -0400,2026-03-09 15:25:36 -0400,"27"" (ROG Strix OLED XG27AQWMG)",1,OLED,No Backlight,2560 x 1440,280,7.6,8.9,9.1,8.7,7.3,9.1,16:9,26.5,"27""",10.0,0.5,0.5 ms,9.8,42.5,42.5%,8.6,767,767 cd/m²,8.5,1340,"1,340 cd/m²",9.2,3.1,3.1 ms,9.2,No,Inf,Inf : 1,10.0,280 Hz,9.1,WOLED,110.8380966,111 PPI,7.2,78.15,78.2%,6.5,99.73,99.7%,10.0,https://i.rtings.com/assets/products/B5JQlDvt/asus-rog-strix-oled-xg27aqwmg/spd-large.jpg?format=auto,spd_images/monitors/asus-rog-strix-oled-xg27aqwmg_spd.jpg,https://i.rtings.com/assets/products/B5JQlDvt/asus-rog-strix-oled-xg27aqwmg/spd-small.jpg?format=auto,0.5,0.5 ms,9.9,2026-03-30T14:24:29.531116+00:00,https://i.rtings.com/assets/products/mKZzUOwe/asus-rog-strix-oled-xg27aqwmg/design-small.jpg?format=auto,16291
100486,ASUS ROG Strix OLED XG32UCWMG,ASUS,asus-rog-strix-oled-xg32ucwmg,https://www.rtings.com/monitor/reviews/asus/rog-strix-oled-xg32ucwmg,238,v2.1.2,2025-09-19 00:00:00 -0400,2026-03-17 13:18:49 -0400,2025-10-30 13:49:50 -0400,"32"" (ROG Strix OLED XG32UCWMG)",1,OLED,No Backlight,3840 x 2160,240,7.2,8.5,9.2,9.0,7.9,9.2,16:9,31.5,"32""",10.0,0.4,0.4 ms,9.9,34,34.0%,7.9,674,674 cd/m²,8.1,1053,"1,053 cd/m²",9.0,2.6,2.6 ms,9.3,No,Inf,Inf : 1,10.0,240 Hz,9.0,WOLED,139.8671219,140 PPI,8.1,69.68,69.7%,5.5,96.18,96.2%,9.3,https://i.rtings.com/assets/products/Ji0c2gPT/asus-rog-strix-oled-xg32ucwmg/spd-large.jpg?format=auto,spd_images/monitors/asus-rog-strix-oled-xg32ucwmg_spd.jpg,https://i.rtings.com/assets/products/Ji0c2gPT/asus-rog-strix-oled-xg32ucwmg/spd-small.jpg?format=auto,0.4,0.4 ms,9.9,2026-03-30T14:24:29.531116+00:00,https://i.rtings.com/assets/products/BIvg3SqC/asus-rog-strix-oled-xg32ucwmg/design-small.jpg?format=auto,15530
127444,ASUS ROG Strix Pulsar XG27AQNGV,ASUS,asus-rog-strix-pulsar-xg27aqngv,https://www.rtings.com/monitor/reviews/asus/rog-strix-pulsar-xg27aqngv,238,v2.1.2,2026-01-07 00:00:00 -0500,2026-03-26 14:45:01 -0400,2026-03-26 14:45:01 -0400,"27"" (ROG Strix Pulsar XG27AQNGV)",1,LCD,Edge,2560 x 1440,360,7.4,8.6,8.0,7.3,7.6,7.7,16:9,27,"27""",10.0,2.4,2.4 ms,9.2,27.1,27.1%,7.2,458,458 cd/m²,7.0,458,458 cd/m²,7.0,2.5,2.5 ms,9.3,No,1190,"1,190 : 1",6.3,360 Hz,9.3,IPS,108.7855393,109 PPI,7.2,63.73,63.7%,4.9,88.26,88.3%,8.0,https://i.rtings.com/assets/products/vCxRl2mk/asus-rog-strix-pulsar-xg27aqngv/spd-large.jpg?format=auto,spd_images/monitors/asus-rog-strix-pulsar-xg27aqngv_spd.jpg,https://i.rtings.com/assets/products/vCxRl2mk/asus-rog-strix-pulsar-xg27aqngv/spd-small.jpg?format=auto,2.7,2.7 ms,9.3,2026-03-30T14:24:29.531116+00:00,https://i.rtings.com/assets/products/SCdQ4q6D/asus-rog-strix-pulsar-xg27aqngv/design-small.jpg?format=auto,16421
