product_id,fullname,brand,url_part,panel_type,spd_classification,spd_confidence,ground_truth_tech,ground_truth_qd_type,match_status,blue_peak_nm,blue_fwhm_nm,green_peak_nm,green_fwhm_nm,red_peak_nm,red_fwhm_nm,num_peaks,notes,spd_image_local
82692,Amazon Fire TV Omni Mini-LED Series,Amazon,amazon-fire-tv-omni-mini-led-series,LCD,KSF,high,,,NO_GT,445.9,16.7,533.2,46.0,632.0,9.1,5,B:446nm/17nm; G:533nm/46nm; R:632nm/9nm,spd_images/amazon-fire-tv-omni-mini-led-series_spd.jpg
117447,Hisense 100U8QG,Hisense,hisense-100u8qg,LCD,KSF,high,,,NO_GT,446.6,15.7,533.4,51.0,632.0,9.0,5,B:447nm/16nm; G:533nm/51nm; R:632nm/9nm,spd_images/hisense-100u8qg_spd.jpg
61045,Hisense 75U8N,Hisense,hisense-75u8n,LCD,QD-LCD,high,,,NO_GT,447.8,16.1,536.4,25.4,625.9,21.6,3,B:448nm/16nm; G:536nm/25nm; R:626nm/22nm,spd_images/hisense-75u8n_spd.jpg
102827,Hisense 98QD5QG,Hisense,hisense-98qd5qg,LCD,KSF,high,,,NO_GT,446.3,16.5,534.5,49.3,632.0,9.1,5,B:446nm/17nm; G:534nm/49nm; R:632nm/9nm,spd_images/hisense-98qd5qg_spd.jpg
57713,Hisense A7N,Hisense,hisense-a7n,LCD,KSF,high,,,NO_GT,444.5,16.5,534.4,47.3,632.0,9.1,5,B:444nm/16nm; G:534nm/47nm; R:632nm/9nm,spd_images/hisense-a7n_spd.jpg
63953,Hisense CanvasTV 2024,Hisense,hisense-canvastv-2024,LCD,KSF,high,,,NO_GT,444.3,16.5,536.3,48.7,632.0,9.1,5,B:444nm/17nm; G:536nm/49nm; R:632nm/9nm,spd_images/hisense-canvastv-2024_spd.jpg
96128,Hisense QD6QF,Hisense,hisense-qd6qf,LCD,KSF,high,,,NO_GT,447.8,17.1,533.6,48.0,632.0,9.0,5,B:448nm/17nm; G:534nm/48nm; R:632nm/9nm,spd_images/hisense-qd6qf_spd.jpg
63102,Hisense QD7N,Hisense,hisense-qd7n,LCD,KSF,high,,,NO_GT,447.7,18.0,533.8,47.5,632.0,9.1,5,B:448nm/18nm; G:534nm/47nm; R:632nm/9nm,spd_images/hisense-qd7n_spd.jpg
96119,Hisense QD7QF,Hisense,hisense-qd7qf,LCD,KSF,high,,,NO_GT,447.7,17.3,535.7,48.5,632.0,9.0,5,B:448nm/17nm; G:536nm/49nm; R:632nm/9nm,spd_images/hisense-qd7qf_spd.jpg
96118,Hisense U65QF,Hisense,hisense-u65qf,LCD,KSF,high,,,NO_GT,448.1,16.7,528.1,45.7,632.0,9.1,5,B:448nm/17nm; G:528nm/46nm; R:632nm/9nm,spd_images/hisense-u65qf_spd.jpg
50404,Hisense U6N,Hisense,hisense-u6n,LCD,KSF,high,,,NO_GT,445.9,17.8,534.7,47.4,632.0,9.1,5,B:446nm/18nm; G:535nm/47nm; R:632nm/9nm,spd_images/hisense-u6n_spd.jpg
96104,Hisense U75QG,Hisense,hisense-u75qg,LCD,KSF,high,,,NO_GT,451.8,17.0,534.3,48.6,632.0,9.0,5,B:452nm/17nm; G:534nm/49nm; R:632nm/9nm,spd_images/hisense-u75qg_spd.jpg
50405,Hisense U7N,Hisense,hisense-u7n,LCD,KSF,high,,,NO_GT,446.3,17.1,530.2,45.6,631.9,9.0,5,B:446nm/17nm; G:530nm/46nm; R:632nm/9nm,spd_images/hisense-u7n_spd.jpg
