product_id,fullname,brand,url_part,panel_type,spd_classification,spd_confidence,ground_truth_tech,ground_truth_qd_type,match_status,blue_peak_nm,blue_fwhm_nm,green_peak_nm,green_fwhm_nm,red_peak_nm,red_fwhm_nm,num_peaks,notes,spd_image_local
70557,AOC AGON PRO AG276QZD2,AOC,aoc-agon-pro-ag276qzd2,OLED,QD-OLED,high,,,NO_GT,445.9,20.9,528.8,29.9,634.6,35.9,9,B:446nm/21nm; G:529nm/30nm; R:635nm/36nm; R:fwhm_via_hwhm_left; panel_sub_type=QD-OLED,spd_images/monitors/aoc-agon-pro-ag276qzd2_spd.jpg
41611,AOC Q27G3XMN,AOC,aoc-q27g3xmn,LCD,QD-LCD,high,,,NO_GT,448.8,15.7,539.0,24.0,624.8,33.9,4,B:449nm/16nm; G:539nm/24nm; R:625nm/34nm,spd_images/monitors/aoc-q27g3xmn_spd.jpg
97969,AOC Q27G40XMN,AOC,aoc-q27g40xmn,LCD,QD-LCD,high,,,NO_GT,445.8,14.3,531.2,24.0,628.0,18.3,9,B:446nm/14nm; G:531nm/24nm; R:628nm/18nm,spd_images/monitors/aoc-q27g40xmn_spd.jpg
91962,ASUS ProArt Display 6K PA32QCV,ASUS,asus-proart-display-6k-pa32qcv,LCD,KSF,medium,,,NO_GT,445.8,13.6,547.2,1.1,630.3,9.1,10,B:446nm/14nm; G:547nm/1nm; R:630nm/9nm; narrow red suggests KSF,spd_images/monitors/asus-proart-display-6k-pa32qcv_spd.jpg
38128,ASUS ProArt Display PA279CRV,ASUS,asus-proart-display-pa279crv,LCD,KSF,medium,,,NO_GT,445.8,14.9,547.2,0.8,630.4,9.0,10,B:446nm/15nm; G:547nm/1nm; R:630nm/9nm; narrow red suggests KSF,spd_images/monitors/asus-proart-display-pa279crv_spd.jpg
81301,ASUS ProArt Display PA27JCV,ASUS,asus-proart-display-pa27jcv,LCD,KSF,medium,,,NO_GT,445.8,16.8,547.2,1.0,630.4,9.0,10,B:446nm/17nm; G:547nm/1nm; R:630nm/9nm; narrow red suggests KSF,spd_images/monitors/asus-proart-display-pa27jcv_spd.jpg
72294,ASUS ROG Strix OLED XG27ACDNG,ASUS,asus-rog-strix-oled-xg27acdng,OLED,QD-OLED,high,,,NO_GT,452.6,21.6,532.7,29.6,637.3,36.2,4,B:453nm/22nm; G:533nm/30nm; R:637nm/36nm; R:fwhm_via_hwhm_left; panel_sub_type=QD-OLED,spd_images/monitors/asus-rog-strix-oled-xg27acdng_spd.jpg
61784,ASUS ROG Strix OLED XG27AQDMG,ASUS,asus-rog-strix-oled-xg27aqdmg,OLED,WOLED,high,,,NO_GT,452.7,24.9,558.9,112.1,,,2,B:453nm/25nm; G:559nm/112nm; No red; panel_sub_type=WOLED,spd_images/monitors/asus-rog-strix-oled-xg27aqdmg_spd.jpg
114001,ASUS ROG Strix OLED XG27AQWMG,ASUS,asus-rog-strix-oled-xg27aqwmg,OLED,WOLED,high,,,NO_GT,452.5,22.2,534.1,53.2,626.3,39.2,3,B:452nm/22nm; G:534nm/53nm; R:626nm/39nm; panel_sub_type=WOLED,spd_images/monitors/asus-rog-strix-oled-xg27aqwmg_spd.jpg
100486,ASUS ROG Strix OLED XG32UCWMG,ASUS,asus-rog-strix-oled-xg32ucwmg,OLED,WOLED,high,,,NO_GT,453.1,25.2,558.9,122.7,,,2,B:453nm/25nm; G:559nm/123nm; No red; panel_sub_type=WOLED,spd_images/monitors/asus-rog-strix-oled-xg32ucwmg_spd.jpg
127444,ASUS ROG Strix Pulsar XG27AQNGV,ASUS,asus-rog-strix-pulsar-xg27aqngv,LCD,Pseudo QD,low,,,NO_GT,454.2,17.2,537.0,51.5,639.4,98.2,3,"B:454nm/17nm; G:537nm/51nm; R:639nm/98nm; moderate green, weak red",spd_images/monitors/asus-rog-strix-pulsar-xg27aqngv_spd.jpg
56501,ASUS ROG Strix XG27ACS,ASUS,asus-rog-strix-xg27acs,LCD,KSF,medium,,,NO_GT,445.8,17.5,547.2,1.2,630.4,9.1,10,B:446nm/17nm; G:547nm/1nm; R:630nm/9nm; narrow red suggests KSF,spd_images/monitors/asus-rog-strix-xg27acs_spd.jpg
37157,ASUS ROG Swift OLED PG27AQDM,ASUS,asus-rog-swift-oled-pg27aqdm,OLED,WOLED,high,,,NO_GT,454.6,24.8,559.0,123.5,,,2,B:455nm/25nm; G:559nm/123nm; No red; panel_sub_type=WOLED,spd_images/monitors/asus-rog-swift-oled-pg27aqdm_spd.jpg
49885,ASUS ROG Swift OLED PG27AQDP,ASUS,asus-rog-swift-oled-pg27aqdp,OLED,WOLED,high,,,NO_GT,454.2,24.4,559.9,123.8,,,2,B:454nm/24nm; G:560nm/124nm; No red; panel_sub_type=WOLED,spd_images/monitors/asus-rog-swift-oled-pg27aqdp_spd.jpg
110675,ASUS ROG Swift OLED PG27AQWP-W,ASUS,asus-rog-swift-oled-pg27aqwp-w,OLED,WOLED,high,,,NO_GT,450.9,21.8,533.4,44.7,625.9,39.1,3,B:451nm/22nm; G:533nm/45nm; R:626nm/39nm; panel_sub_type=WOLED,spd_images/monitors/asus-rog-swift-oled-pg27aqwp-w_spd.jpg
88031,ASUS ROG Swift OLED PG27UCDM,ASUS,asus-rog-swift-oled-pg27ucdm,OLED,QD-OLED,high,,,NO_GT,452.1,22.3,529.0,28.2,635.1,36.1,9,B:452nm/22nm; G:529nm/28nm; R:635nm/36nm; R:fwhm_via_hwhm_left; panel_sub_type=QD-OLED,spd_images/monitors/asus-rog-swift-oled-pg27ucdm_spd.jpg
42065,ASUS ROG Swift OLED PG32UCDM,ASUS,asus-rog-swift-oled-pg32ucdm,OLED,QD-OLED,high,,,NO_GT,449.6,21.3,531.9,29.8,637.7,37.4,4,B:450nm/21nm; G:532nm/30nm; R:638nm/37nm; R:fwhm_via_hwhm_left; panel_sub_type=QD-OLED,spd_images/monitors/asus-rog-swift-oled-pg32ucdm_spd.jpg
49884,ASUS ROG Swift OLED PG32UCDP,ASUS,asus-rog-swift-oled-pg32ucdp,OLED,WOLED,high,,,NO_GT,454.4,24.9,559.0,125.6,,,2,B:454nm/25nm; G:559nm/126nm; No red; panel_sub_type=WOLED,spd_images/monitors/asus-rog-swift-oled-pg32ucdp_spd.jpg
39860,Acer Nitro XV275K P3biipruzx,Acer,acer-nitro-xv275k-p3biipruzx,LCD,QD-LCD,high,,,NO_GT,445.9,16.5,529.1,22.3,624.0,19.7,9,B:446nm/16nm; G:529nm/22nm; R:624nm/20nm,spd_images/monitors/acer-nitro-xv275k-p3biipruzx_spd.jpg
113401,Acer Nitro XV275K P5biipruzx,Acer,acer-nitro-xv275k-p5biipruzx,LCD,QD-LCD,high,,,NO_GT,445.9,16.5,529.1,22.3,624.0,19.7,9,B:446nm/16nm; G:529nm/22nm; R:624nm/20nm,spd_images/monitors/acer-nitro-xv275k-p5biipruzx_spd.jpg
32280,Apple Studio Display 2022,Apple,apple-studio-display-2022,LCD,KSF,medium,,,NO_GT,445.8,14.0,547.2,1.3,630.3,9.0,10,B:446nm/14nm; G:547nm/1nm; R:630nm/9nm; narrow red suggests KSF,spd_images/monitors/apple-studio-display-2022_spd.jpg
133967,Apple Studio Display 2026,Apple,apple-studio-display-2026,LCD,KSF,medium,,,NO_GT,445.8,13.9,547.2,1.3,630.3,9.1,10,B:446nm/14nm; G:547nm/1nm; R:630nm/9nm; narrow red suggests KSF,spd_images/monitors/apple-studio-display-2026_spd.jpg
66546,BenQ MOBIUZ EX321UX,BenQ,benq-mobiuz-ex321ux,LCD,QD-LCD,high,,,NO_GT,445.8,14.6,530.8,25.9,627.7,20.1,9,B:446nm/15nm; G:531nm/26nm; R:628nm/20nm,spd_images/monitors/benq-mobiuz-ex321ux_spd.jpg
40848,Dell Alienware AW2724DM,Dell,dell-alienware-aw2724dm,LCD,KSF,medium,,,NO_GT,445.8,15.7,547.2,1.1,630.3,9.1,10,B:446nm/16nm; G:547nm/1nm; R:630nm/9nm; narrow red suggests KSF,spd_images/monitors/dell-alienware-aw2724dm_spd.jpg
46678,Dell Alienware AW2725DF,Dell,dell-alienware-aw2725df,OLED,QD-OLED,high,,,NO_GT,452.6,21.7,532.6,29.7,638.1,36.2,4,B:453nm/22nm; G:533nm/30nm; R:638nm/36nm; R:fwhm_via_hwhm_left; panel_sub_type=QD-OLED,spd_images/monitors/dell-alienware-aw2725df_spd.jpg
96305,Dell Alienware AW2725DM,Dell,dell-alienware-aw2725dm,LCD,KSF,medium,,,NO_GT,445.8,15.7,547.2,1.1,630.3,9.1,10,B:446nm/16nm; G:547nm/1nm; R:630nm/9nm; narrow red suggests KSF,spd_images/monitors/dell-alienware-aw2725dm_spd.jpg
