product_id,fullname,first_seen_date,last_seen_date,status
37906,Roku Select Series 2023,2026-02-19,2026-02-19,active
39008,Sony X90L/X90CL,2026-02-19,2026-02-19,active
49703,Samsung S90D OLED,2026-02-19,2026-02-19,active
96104,Hisense U75QG,2026-02-19,2026-02-19,active
56163,Samsung The Frame 2024,2026-02-19,2026-02-19,active
88591,Samsung QN990F 8K,2026-02-19,2026-02-19,active
92239,Samsung QN70F,2026-02-19,2026-02-19,active
102195,Samsung U7900F,2026-02-19,2026-02-19,active
88602,LG C5 OLED,2026-02-19,2026-02-19,active
96125,Hisense U8QG,2026-02-19,2026-02-19,active
96128,Hisense QD6QF,2026-02-19,2026-02-19,active
59962,Hisense U9N,2026-02-19,2026-02-19,active
74025,Panasonic W95A,2026-02-19,2026-02-19,active
50404,Hisense U6N,2026-02-19,2026-02-19,active
117450,Sony BRAVIA 5 98,2026-02-19,2026-02-19,active
55174,LG QNED90T,2026-02-19,2026-02-19,active
96119,Hisense QD7QF,2026-02-19,2026-02-19,active
74024,Panasonic Z95A OLED,2026-02-19,2026-02-19,active
92242,Samsung QN900F 8K,2026-02-19,2026-02-19,active
49540,LG B4 OLED,2026-02-19,2026-02-19,active
74026,Panasonic Z85A OLED,2026-02-19,2026-02-19,active
57180,Samsung DU7200,2026-02-19,2026-02-19,active
88603,LG B5 OLED,2026-02-19,2026-02-19,active
92248,Sony BRAVIA 8 II OLED,2026-02-19,2026-02-19,active
94324,Samsung Q7F 2025,2026-02-19,2026-02-19,active
63953,Hisense CanvasTV 2024,2026-02-19,2026-02-19,active
92241,Samsung QN90F,2026-02-19,2026-02-19,active
92236,Samsung S85F OLED,2026-02-19,2026-02-19,active
82692,Amazon Fire TV Omni Mini-LED Series,2026-02-19,2026-02-19,active
60903,TCL Q651G,2026-02-19,2026-02-19,active
88503,Panasonic W70B,2026-02-19,2026-02-19,active
49718,Samsung QN900D 8K,2026-02-19,2026-02-19,active
41473,Sharp AQUOS XLED FV1 ,2026-02-19,2026-02-19,active
61045,Hisense 75U8N,2026-02-19,2026-02-19,active
117449,TCL 98QM8K,2026-02-19,2026-02-19,active
88601,LG G5 OLED,2026-02-19,2026-02-19,active
63102,Hisense QD7N,2026-02-19,2026-02-19,active
96722,Sony BRAVIA 5,2026-02-19,2026-02-19,active
100489,TCL QM5K,2026-02-19,2026-02-19,active
88608,TCL QM7K,2026-02-19,2026-02-19,active
92761,Philips 974 Series OLED,2026-02-19,2026-02-19,active
70375,TCL NXTVISION,2026-02-19,2026-02-19,active
92245,Sony BRAVIA 2 II,2026-02-19,2026-02-19,active
92240,Samsung QN80F,2026-02-19,2026-02-19,active
102906,Roku Pro Series 2025,2026-02-19,2026-02-19,active
58889,Sony BRAVIA 8 OLED,2026-02-19,2026-02-19,active
57713,Hisense A7N,2026-02-19,2026-02-19,active
96489,LG QNED92A,2026-02-19,2026-02-19,active
50405,Hisense U7N,2026-02-19,2026-02-19,active
49541,LG C4 OLED,2026-02-19,2026-02-19,active
96118,Hisense U65QF,2026-02-19,2026-02-19,active
49542,LG G4 OLED,2026-02-19,2026-02-19,active
49719,Samsung QN85D,2026-02-19,2026-02-19,active
101781,TCL QM8K,2026-02-19,2026-02-19,active
96964,Samsung Q8F 2025,2026-02-19,2026-02-19,active
88596,Samsung S95F OLED,2026-02-19,2026-02-19,active
60898,TCL QM851G,2026-02-19,2026-02-19,active
57179,Samsung Q80D,2026-02-19,2026-02-19,active
117447,Hisense 100U8QG,2026-02-19,2026-02-19,active
57721,LG UT75,2026-02-19,2026-02-19,active
92237,Samsung S90F OLED,2026-02-19,2026-02-19,active
57710,Samsung Q70D,2026-02-19,2026-02-19,active
56341,Samsung Q60D,2026-02-19,2026-02-19,active
49704,Samsung S85D OLED,2026-02-19,2026-02-19,active
39009,Sony A95L OLED,2026-02-19,2026-02-19,active
88502,Panasonic Z95B OLED,2026-02-19,2026-02-19,active
92233,LG QNED85A,2026-02-19,2026-02-19,active
60899,TCL QM751G,2026-02-19,2026-02-19,active
49720,Samsung QN90D,2026-02-19,2026-02-19,active
50406,Hisense U8N,2026-02-19,2026-02-19,active
102827,Hisense 98QD5QG,2026-02-19,2026-02-19,active
99831,TCL Q77K,2026-02-19,2026-02-19,active
53321,Sony BRAVIA 9,2026-02-19,2026-02-19,active
117448,Samsung 100QN80F,2026-02-19,2026-02-19,active
60900,TCL S551G,2026-02-19,2026-02-19,active
53323,Sony BRAVIA 3,2026-02-19,2026-02-19,active
112536,TCL QM9K,2026-02-19,2026-02-19,active
88497,Samsung The Frame Pro 2025,2026-02-19,2026-02-19,active
98323,LG UA77,2026-02-19,2026-02-19,active
49702,Samsung S95D OLED,2026-02-19,2026-02-19,active
57722,Samsung QN95D,2026-02-19,2026-02-19,active
88607,TCL QM6K,2026-02-19,2026-02-19,active
94057,Samsung U8000F,2026-02-19,2026-02-19,active
55354,Samsung DU8000,2026-02-19,2026-02-19,active
53322,Sony BRAVIA 7,2026-02-19,2026-02-19,active
